url,page,store,brand,tech,size,resolution,price
https://www.bestbuy.com/site/samsung-65-class-led-curved-7-series-2160p-smart-4k-uhd-tv-with-hdr/6325563.p?skuId=6325563,5,Best Buy,Samsung,LED,65,4K,Your price for this item is $749.99
https://www.bestbuy.com/site/insignia-39-class-led-720p-hdtv/6160800.p?skuId=6160800,5,Best Buy,Insignia™,LED,39,720p,Your price for this item is $149.99
https://www.bestbuy.com/site/lg-86-class-led-um8070pua-series-2160p-smart-4k-uhd-tv-with-hdr/6345467.p?skuId=6345467,5,Best Buy,LG,LED,86,4K,"Your price for this item is $2,399.99"
https://www.bestbuy.com/site/lg-65-class-led-nano-8-series-2160p-smart-4k-uhd-tv-with-hdr/6336396.p?skuId=6336396,5,Best Buy,LG,LED,65,4K,"Your price for this item is $1,099.99"
https://www.bestbuy.com/site/samsung-55-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6290508.p?skuId=6290508,5,Best Buy,Samsung,LED,55,4K,Your price for this item is $379.99
https://www.bestbuy.com/site/sharp-50-class-led-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/5746805.p?skuId=5746805,5,Best Buy,Sharp,LED,50,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/lg-60-class-led-uk6090-series-2160p-smart-4k-uhd-tv-with-hdr/6288822.p?skuId=6288822,5,Best Buy,LG,LED,60,4K,Your price for this item is $549.99
https://www.bestbuy.com/site/samsung-75-class-led-8-series-2160p-smart-4k-uhd-tv-with-hdr/6331776.p?skuId=6331776,5,Best Buy,Samsung,LED,75,4K,"Your price for this item is $1,799.99"
https://www.bestbuy.com/site/samsung-65-class-led-q90-series-2160p-smart-4k-uhd-tv-with-hdr/6331764.p?skuId=6331764,5,Best Buy,Samsung,LED,65,4K,"Your price for this item is $2,799.99"
https://www.bestbuy.com/site/lg-70-class-led-uk6190-series-2160p-smart-4k-uhd-tv-with-hdr/6290169.p?skuId=6290169,5,Best Buy,LG,LED,70,4K,Your price for this item is $749.99
https://www.bestbuy.com/site/westinghouse-65-class-led-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6350832.p?skuId=6350832,5,Best Buy,Westinghouse,LED,65,4K,Your price for this item is $399.99
https://www.bestbuy.com/site/samsung-43-class-led-5-series-1080p-smart-hdtv-with-hdr/6323700.p?skuId=6323700,5,Best Buy,Samsung,LED,43,1080p,Your price for this item is $279.99
https://www.bestbuy.com/site/sony-85-class-led-x850g-series-2160p-smart-4k-uhd-tv-with-hdr/6331606.p?skuId=6331606,5,Best Buy,Sony,LED,85,4K,"Your price for this item is $2,799.99"
https://www.bestbuy.com/site/sony-75-class-led-x800g-series-2160p-smart-4k-uhd-tv-with-hdr/6332594.p?skuId=6332594,5,Best Buy,Sony,LED,75,4K,"Your price for this item is $1,499.99"
https://www.bestbuy.com/site/sony-65-class-led-x800g-series-2160p-smart-4k-uhd-tv-with-hdr/6328561.p?skuId=6328561,6,Best Buy,Sony,LED,65,4K,Your price for this item is $999.99
https://www.bestbuy.com/site/vizio-24-class-led-d-series-720p-smart-hdtv/6293774.p?skuId=6293774,6,Best Buy,VIZIO,LED,24,720p,Your price for this item is $119.99
https://www.bestbuy.com/site/lg-77-class-oled-c9-series-2160p-smart-4k-uhd-tv-with-hdr/6345763.p?skuId=6345763,6,Best Buy,LG,OLED,77,4K,"Your price for this item is $5,999.99"
https://www.bestbuy.com/site/samsung-65-class-led-q900-series-4320p-smart-8k-uhd-tv-with-hdr/6323711.p?skuId=6323711,6,Best Buy,Samsung,LED,65,8K,"Your price for this item is $3,999.99"
https://www.bestbuy.com/site/lg-65-class-oled-e9-series-2160p-smart-4k-uhd-tv-with-hdr/6346311.p?skuId=6346311,6,Best Buy,LG,OLED,65,4K,"Your price for this item is $3,499.99"
https://www.bestbuy.com/site/insignia-32-class-led-720p-hdtv/6311202.p?skuId=6311202,6,Best Buy,Insignia™,LED,32,720p,Your price for this item is $149.99
https://www.bestbuy.com/site/hisense-43-class-led-r7-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6221027.p?skuId=6221027,6,Best Buy,Hisense,LED,43,4K,Your price for this item is $219.99
https://www.bestbuy.com/site/insignia-43-class-led-1080p-hdtv/6319495.p?skuId=6319495,6,Best Buy,Insignia™,LED,43,1080p,Your price for this item is $229.99
https://www.bestbuy.com/site/lg-24-class-led-720p-smart-hdtv/6337604.p?skuId=6337604,6,Best Buy,LG,LED,24,720p,Your price for this item is $149.99
https://www.bestbuy.com/site/samsung-43-class-led-q60-series-2160p-smart-4k-uhd-tv-with-hdr/6331742.p?skuId=6331742,6,Best Buy,Samsung,LED,43,4K,Your price for this item is $699.99
https://www.bestbuy.com/site/lg-49-class-led-nano-8-series-2160p-smart-4k-uhd-tv-with-hdr/6334081.p?skuId=6334081,6,Best Buy,LG,LED,49,4K,Your price for this item is $649.99
https://www.bestbuy.com/site/sony-49-class-led-x800g-series-2160p-smart-4k-uhd-tv-with-hdr/6326672.p?skuId=6326672,6,Best Buy,Sony,LED,49,4K,Your price for this item is $699.99
https://www.bestbuy.com/site/sharp-55-class-led-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6319560.p?skuId=6319560,6,Best Buy,Sharp,LED,55,4K,Your price for this item is $379.99
https://www.bestbuy.com/site/lg-50-class-led-uk6090pua-series-2160p-smart-4k-uhd-tv-with-hdr/6290166.p?skuId=6290166,6,Best Buy,LG,LED,50,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/vizio-55-class-led-v-series-2160p-smart-4k-uhd-tv-with-hdr/6347821.p?skuId=6347821,6,Best Buy,VIZIO,LED,55,4K,Your price for this item is $429.99
https://www.bestbuy.com/site/samsung-32-class-led-j4000-series-720p-hdtv/6287916.p?skuId=6287916,6,Best Buy,Samsung,LED,32,720p,Your price for this item is $169.99
https://www.bestbuy.com/site/tcl-49-class-led-3-series-1080p-smart-hdtv-roku-tv/6292167.p?skuId=6292167,6,Best Buy,TCL,LED,49,1080p,Your price for this item is $249.99
https://www.bestbuy.com/site/samsung-49-class-led-q60-series-2160p-smart-4k-uhd-tv-with-hdr/6331928.p?skuId=6331928,6,Best Buy,Samsung,LED,49,4K,Your price for this item is $799.99
https://www.bestbuy.com/site/hisense-50-class-led-r7-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6221029.p?skuId=6221029,6,Best Buy,Hisense,LED,50,4K,Your price for this item is $279.99
https://www.bestbuy.com/site/lg-75-class-led-nano-8-series-2160p-smart-4k-uhd-tv-with-hdr/6339242.p?skuId=6339242,6,Best Buy,LG,LED,75,4K,"Your price for this item is $1,699.99"
https://www.bestbuy.com/site/sony-49-class-led-x900f-series-2160p-smart-4k-ultra-hd-tv-with-hdr/6179728.p?skuId=6179728,6,Best Buy,Sony,LED,49,4K,Your price for this item is $999.99
